[INFO ] [2021-07-24 00:50:05,934] Precondition: Click to here link to register
[INFO ] [2021-07-24 14:58:58,323] NewCustomer_01 - Step 03: Press to Tab key
[INFO ] [2021-07-24 14:58:58,524] NewCustomer_01 - Step 04: Verify message displayed
[INFO ] [2021-07-24 14:58:58,598]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 14:58:58,912] NewCustomer_02 - Step 01: Input numeric to name textbox with value : duc123
[INFO ] [2021-07-24 14:58:59,070] NewCustomer_02 - Step 02: Verify message displayed
[INFO ] [2021-07-24 14:58:59,122]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 14:58:59,163] NewCustomer_03 - Step 01: Input special characters to name textbox with value : duc123@!#
[INFO ] [2021-07-24 14:58:59,294] NewCustomer_03 - Step 02: Verify message displayed
[INFO ] [2021-07-24 14:58:59,332]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 14:58:59,336] NewCustomer_04 - Step 01: Input space at first character to name textbox with value :  duc
[INFO ] [2021-07-24 14:58:59,426] NewCustomer_04 - Step 02: Verify message displayed
[INFO ] [2021-07-24 14:58:59,468]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 14:58:59,476] NewCustomer_05 - Step 01: Input blank to address text area
[INFO ] [2021-07-24 14:58:59,606] NewCustomer_05 - Step 02: Press tab key
[INFO ] [2021-07-24 14:58:59,789] NewCustomer_05 - Step 03: Verify message displayed
[INFO ] [2021-07-24 14:58:59,858]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 14:58:59,865] NewCustomer_06 - Step 01: Input space at first character to name textbox with value :  duc
[INFO ] [2021-07-24 14:58:59,953] NewCustomer_06 - Step 02: Verify message displayed
[INFO ] [2021-07-24 14:58:59,989]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 14:58:59,995] OS name = windows 10
[INFO ] [2021-07-24 14:59:00,829] ---------- QUIT BROWSER SUCCESS ----------
[INFO ] [2021-07-24 15:29:15,592] Precondition: Click to here link to register
[INFO ] [2021-07-24 15:29:17,564] Precondition: Input email ID textbox
[INFO ] [2021-07-24 15:29:17,797] Precondition: Click to submit button
[INFO ] [2021-07-24 15:29:18,644] Precondition: Get user id to login
[INFO ] [2021-07-24 15:29:18,716] Precondition: Get password to login
[INFO ] [2021-07-24 15:29:18,776] Precondition: Open url login page
[INFO ] [2021-07-24 15:29:19,940] Precondition: Input user ID
[INFO ] [2021-07-24 15:29:20,083] Precondition: Input password
[INFO ] [2021-07-24 15:29:20,213] Precondition: Click to login button
[INFO ] [2021-07-24 15:29:22,459] NewCustomer_01 - Step 01: Click to New Customer page
[INFO ] [2021-07-24 15:29:22,952] NewCustomer_01 - Step 02: Input empty to name textbox
[INFO ] [2021-07-24 15:29:23,087] NewCustomer_01 - Step 03: Press to Tab key
[INFO ] [2021-07-24 15:29:23,304] NewCustomer_01 - Step 04: Verify message displayed
[INFO ] [2021-07-24 15:29:23,377]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 15:29:23,553] NewCustomer_02 - Step 01: Input numeric to name textbox with value : duc123
[INFO ] [2021-07-24 15:29:23,684] NewCustomer_02 - Step 02: Verify message displayed
[INFO ] [2021-07-24 15:29:23,729]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 15:29:23,754] NewCustomer_03 - Step 01: Input special characters to name textbox with value : duc123@!#
[INFO ] [2021-07-24 15:29:23,884] NewCustomer_03 - Step 02: Verify message displayed
[INFO ] [2021-07-24 15:29:23,923]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 15:29:23,928] NewCustomer_04 - Step 01: Input space at first character to name textbox with value :  duc
[INFO ] [2021-07-24 15:29:24,025] NewCustomer_04 - Step 02: Verify message displayed
[INFO ] [2021-07-24 15:29:24,063]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 15:29:24,069] NewCustomer_05 - Step 01: Input blank to address text area
[INFO ] [2021-07-24 15:29:24,204] NewCustomer_05 - Step 02: Press tab key
[INFO ] [2021-07-24 15:29:24,385] NewCustomer_05 - Step 03: Verify message displayed
[INFO ] [2021-07-24 15:29:24,440]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 15:29:24,448] NewCustomer_06 - Step 01: Input space at first character to name textbox with value :  duc
[INFO ] [2021-07-24 15:29:24,532] NewCustomer_06 - Step 02: Verify message displayed
[INFO ] [2021-07-24 15:29:24,570]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 15:29:24,576] NewCustomer_07 - Step 01: Input blank to city text box
[INFO ] [2021-07-24 15:29:24,682] NewCustomer_07 - Step 02: Press tab key
[INFO ] [2021-07-24 15:29:24,854] NewCustomer_07 - Step 03: Verify message displayed
[INFO ] [2021-07-24 15:29:24,925]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 15:29:24,931] NewCustomer_08 - Step 01: Input blank to state text box
[INFO ] [2021-07-24 15:29:25,022] NewCustomer_08 - Step 02: Press tab key
[INFO ] [2021-07-24 15:29:25,189] NewCustomer_08 - Step 03: Verify message displayed
[INFO ] [2021-07-24 15:29:25,259]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 15:29:25,283] NewCustomer_09 - Step 01: Input blank to pin text box
[INFO ] [2021-07-24 15:29:35,511] NewCustomer_10 - Step 01: Input blank to mobile number text box
[INFO ] [2021-07-24 15:29:35,657] NewCustomer_10 - Step 02: Press tab key
[INFO ] [2021-07-24 15:29:35,818] NewCustomer_10 - Step 03: Verify message displayed
[INFO ] [2021-07-24 15:29:35,874]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 15:29:35,879] NewCustomer_07 - Step 01: Input blank to email text box
[INFO ] [2021-07-24 15:29:35,970] NewCustomer_07 - Step 02: Press tab key
[INFO ] [2021-07-24 15:29:36,149] NewCustomer_07 - Step 03: Verify message displayed
[INFO ] [2021-07-24 15:29:36,213]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 15:29:36,218] NewCustomer_07 - Step 01: Input blank to password text box
[INFO ] [2021-07-24 15:29:36,309] NewCustomer_07 - Step 02: Press tab key
[INFO ] [2021-07-24 15:29:36,464] NewCustomer_07 - Step 03: Verify message displayed
[INFO ] [2021-07-24 15:29:36,531]  -------------------------- FAILED -------------------------- 
[INFO ] [2021-07-24 15:29:36,662] OS name = windows 10
[INFO ] [2021-07-24 15:29:37,600] ---------- QUIT BROWSER SUCCESS ----------
[INFO ] [2021-07-24 15:32:23,899] Precondition: Click to here link to register
[INFO ] [2021-07-24 15:32:25,282] Precondition: Input email ID textbox
[INFO ] [2021-07-24 15:32:25,495] Precondition: Click to submit button
[INFO ] [2021-07-24 15:32:26,332] Precondition: Get user id to login
[INFO ] [2021-07-24 15:32:26,405] Precondition: Get password to login
[INFO ] [2021-07-24 15:32:26,464] Precondition: Open url login page
[INFO ] [2021-07-24 15:32:27,592] Precondition: Input user ID
[INFO ] [2021-07-24 15:32:27,742] Precondition: Input password
[INFO ] [2021-07-24 15:32:27,863] Precondition: Click to login button
[INFO ] [2021-07-24 15:32:29,766] NewCustomer_01 - Step 01: Click to New Customer page
[INFO ] [2021-07-24 15:32:30,281] NewCustomer_01 - Step 02: Input empty to name textbox
[INFO ] [2021-07-24 15:32:30,405] NewCustomer_01 - Step 03: Press to Tab key
[INFO ] [2021-07-24 15:32:30,616] NewCustomer_01 - Step 04: Verify message displayed
[INFO ] [2021-07-24 15:32:30,711]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 15:32:30,865] NewCustomer_02 - Step 01: Input numeric to name textbox with value : duc123
[INFO ] [2021-07-24 15:32:31,001] NewCustomer_02 - Step 02: Verify message displayed
[INFO ] [2021-07-24 15:32:31,051]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 15:32:31,078] NewCustomer_03 - Step 01: Input special characters to name textbox with value : duc123@!#
[INFO ] [2021-07-24 15:32:31,214] NewCustomer_03 - Step 02: Verify message displayed
[INFO ] [2021-07-24 15:32:31,268]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 15:32:31,274] NewCustomer_04 - Step 01: Input space at first character to name textbox with value :  duc
[INFO ] [2021-07-24 15:32:31,375] NewCustomer_04 - Step 02: Verify message displayed
[INFO ] [2021-07-24 15:32:31,416]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 15:32:31,422] NewCustomer_05 - Step 01: Input blank to address text area
[INFO ] [2021-07-24 15:32:31,527] NewCustomer_05 - Step 02: Press tab key
[INFO ] [2021-07-24 15:32:31,712] NewCustomer_05 - Step 03: Verify message displayed
[INFO ] [2021-07-24 15:32:31,775]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 15:32:31,782] NewCustomer_06 - Step 01: Input space at first character to name textbox with value :  duc
[INFO ] [2021-07-24 15:32:31,867] NewCustomer_06 - Step 02: Verify message displayed
[INFO ] [2021-07-24 15:32:31,904]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 15:32:31,910] NewCustomer_07 - Step 01: Input blank to city text box
[INFO ] [2021-07-24 15:32:32,014] NewCustomer_07 - Step 02: Press tab key
[INFO ] [2021-07-24 15:32:32,183] NewCustomer_07 - Step 03: Verify message displayed
[INFO ] [2021-07-24 15:32:32,241]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 15:32:32,246] NewCustomer_08 - Step 01: Input blank to state text box
[INFO ] [2021-07-24 15:32:32,336] NewCustomer_08 - Step 02: Press tab key
[INFO ] [2021-07-24 15:32:32,495] NewCustomer_08 - Step 03: Verify message displayed
[INFO ] [2021-07-24 15:32:32,559]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 15:32:32,577] NewCustomer_09 - Step 01: Input blank to pin text box
[INFO ] [2021-07-24 15:32:32,667] NewCustomer_09 - Step 02: Press tab key
[INFO ] [2021-07-24 15:32:32,816] NewCustomer_09 - Step 03: Verify message displayed
[INFO ] [2021-07-24 15:32:32,876]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 15:32:32,882] NewCustomer_10 - Step 01: Input blank to mobile number text box
[INFO ] [2021-07-24 15:32:32,974] NewCustomer_10 - Step 02: Press tab key
[INFO ] [2021-07-24 15:32:33,138] NewCustomer_10 - Step 03: Verify message displayed
[INFO ] [2021-07-24 15:32:33,211]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 15:32:33,217] NewCustomer_11 - Step 01: Input blank to email text box
[INFO ] [2021-07-24 15:32:33,312] NewCustomer_11 - Step 02: Press tab key
[INFO ] [2021-07-24 15:32:33,482] NewCustomer_11 - Step 03: Verify message displayed
[INFO ] [2021-07-24 15:32:33,539]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 15:32:33,544] NewCustomer_12 - Step 01: Input blank to password text box
[INFO ] [2021-07-24 15:32:33,636] NewCustomer_12 - Step 02: Press tab key
[INFO ] [2021-07-24 15:32:33,811] NewCustomer_12 - Step 03: Verify message displayed
[INFO ] [2021-07-24 15:32:33,878]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 15:32:33,883] OS name = windows 10
[INFO ] [2021-07-24 15:32:34,705] ---------- QUIT BROWSER SUCCESS ----------
[INFO ] [2021-07-24 15:57:55,131] Precondition: Click to here link to register
[INFO ] [2021-07-24 15:57:56,775] Precondition: Input email ID textbox
[INFO ] [2021-07-24 15:57:56,975] Precondition: Click to submit button
[INFO ] [2021-07-24 15:57:57,887] Precondition: Get user id to login
[INFO ] [2021-07-24 15:57:57,955] Precondition: Get password to login
[INFO ] [2021-07-24 15:57:58,024] Precondition: Open url login page
[INFO ] [2021-07-24 15:57:59,540] Precondition: Input user ID
[INFO ] [2021-07-24 15:57:59,694] Precondition: Input password
[INFO ] [2021-07-24 15:57:59,814] Precondition: Click to login button
[INFO ] [2021-07-24 15:58:01,740] NewCustomer_01 - Step 01: Click to New Customer page
[INFO ] [2021-07-24 15:58:02,241] NewCustomer_01 - Step 02: Input empty to name textbox
[INFO ] [2021-07-24 15:58:02,368] NewCustomer_01 - Step 03: Press to Tab key
[INFO ] [2021-07-24 15:58:02,566] NewCustomer_01 - Step 04: Verify message displayed
[INFO ] [2021-07-24 15:58:02,644]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 15:58:02,794] NewCustomer_02 - Step 01: Input numeric to name textbox with value : duc123
[INFO ] [2021-07-24 15:58:02,923] NewCustomer_02 - Step 02: Verify message displayed
[INFO ] [2021-07-24 15:58:02,967]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 15:58:02,989] NewCustomer_03 - Step 01: Input special characters to name textbox with value : duc123@!#
[INFO ] [2021-07-24 15:58:03,140] NewCustomer_03 - Step 02: Verify message displayed
[INFO ] [2021-07-24 15:58:03,191]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 15:58:03,196] NewCustomer_04 - Step 01: Input space at first character to name textbox with value :  duc
[INFO ] [2021-07-24 15:58:03,344] NewCustomer_04 - Step 02: Verify message displayed
[INFO ] [2021-07-24 15:58:03,390]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 15:58:03,398] NewCustomer_05 - Step 01: Input blank to address text area
[INFO ] [2021-07-24 15:58:03,504] NewCustomer_05 - Step 02: Press tab key
[INFO ] [2021-07-24 15:58:03,696] NewCustomer_05 - Step 03: Verify message displayed
[INFO ] [2021-07-24 15:58:03,760]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 15:58:03,766] NewCustomer_06 - Step 01: Input space at first character to name textbox with value :  duc
[INFO ] [2021-07-24 15:58:03,848] NewCustomer_06 - Step 02: Verify message displayed
[INFO ] [2021-07-24 15:58:03,882]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 15:58:03,887] NewCustomer_07 - Step 01: Input blank to city text box
[INFO ] [2021-07-24 15:58:04,001] NewCustomer_07 - Step 02: Press tab key
[INFO ] [2021-07-24 15:58:04,177] NewCustomer_07 - Step 03: Verify message displayed
[INFO ] [2021-07-24 15:58:04,238]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 15:58:04,243] NewCustomer_08 - Step 01: Input blank to state text box
[INFO ] [2021-07-24 15:58:04,332] NewCustomer_08 - Step 02: Press tab key
[INFO ] [2021-07-24 15:58:04,502] NewCustomer_08 - Step 03: Verify message displayed
[INFO ] [2021-07-24 15:58:04,565]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 15:58:04,584] NewCustomer_09 - Step 01: Input blank to pin text box
[INFO ] [2021-07-24 15:58:04,692] NewCustomer_09 - Step 02: Press tab key
[INFO ] [2021-07-24 15:58:04,857] NewCustomer_09 - Step 03: Verify message displayed
[INFO ] [2021-07-24 15:58:04,925]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 15:58:04,930] NewCustomer_10 - Step 01: Input blank to mobile number text box
[INFO ] [2021-07-24 15:58:05,025] NewCustomer_10 - Step 02: Press tab key
[INFO ] [2021-07-24 15:58:05,192] NewCustomer_10 - Step 03: Verify message displayed
[INFO ] [2021-07-24 15:58:05,258]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 15:58:05,265] NewCustomer_11 - Step 01: Input blank to email text box
[INFO ] [2021-07-24 15:58:05,350] NewCustomer_11 - Step 02: Press tab key
[INFO ] [2021-07-24 15:58:05,518] NewCustomer_11 - Step 03: Verify message displayed
[INFO ] [2021-07-24 15:58:05,579]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 15:58:05,584] NewCustomer_12 - Step 01: Input blank to password text box
[INFO ] [2021-07-24 15:58:05,682] NewCustomer_12 - Step 02: Press tab key
[INFO ] [2021-07-24 15:58:05,852] NewCustomer_12 - Step 03: Verify message displayed
[INFO ] [2021-07-24 15:58:05,914]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 15:58:05,919] NewCustomer_13 - Step 01: Input numeric to city textbox with value : duc123
[INFO ] [2021-07-24 15:58:06,008] NewCustomer_13 - Step 02: Verify message displayed
[INFO ] [2021-07-24 15:58:06,046]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 15:58:06,051] NewCustomer_14 - Step 01: Input special characters to city textbox with value : duc123@!#
[INFO ] [2021-07-24 15:58:06,157] NewCustomer_14 - Step 02: Verify message displayed
[INFO ] [2021-07-24 15:58:06,194]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 15:58:06,199] NewCustomer_15 - Step 01: Input first charater is space to city textbox with value :  duc
[INFO ] [2021-07-24 15:58:06,285] NewCustomer_15 - Step 02: Verify message displayed
[INFO ] [2021-07-24 15:58:06,325]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 15:58:06,331] NewCustomer_16 - Step 01: Input numeric to state textbox with value : duc123
[INFO ] [2021-07-24 15:58:06,418] NewCustomer_16 - Step 02: Verify message displayed
[INFO ] [2021-07-24 15:58:06,452]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 15:58:06,584] NewCustomer_17 - Step 01: Input special characters to state textbox with value : duc123@!#
[INFO ] [2021-07-24 15:58:06,723] NewCustomer_17 - Step 02: Verify message displayed
[INFO ] [2021-07-24 15:58:06,771]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 15:58:06,778] NewCustomer_18 - Step 01: Input first charater is space to state textbox with value :  duc
[INFO ] [2021-07-24 15:58:06,889] NewCustomer_18 - Step 02: Verify message displayed
[INFO ] [2021-07-24 15:58:06,935]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 15:58:06,939] OS name = windows 10
[INFO ] [2021-07-24 15:58:07,766] ---------- QUIT BROWSER SUCCESS ----------
[INFO ] [2021-07-24 16:27:37,930] Precondition: Click to here link to register
[INFO ] [2021-07-24 16:27:39,758] Precondition: Input email ID textbox
[INFO ] [2021-07-24 16:27:39,965] Precondition: Click to submit button
[INFO ] [2021-07-24 16:27:40,807] Precondition: Get user id to login
[INFO ] [2021-07-24 16:27:40,881] Precondition: Get password to login
[INFO ] [2021-07-24 16:27:40,936] Precondition: Open url login page
[INFO ] [2021-07-24 16:27:42,534] Precondition: Input user ID
[INFO ] [2021-07-24 16:27:42,694] Precondition: Input password
[INFO ] [2021-07-24 16:27:42,815] Precondition: Click to login button
[INFO ] [2021-07-24 16:27:45,006] NewCustomer_01 - Step 01: Click to New Customer page
[INFO ] [2021-07-24 16:27:45,466] NewCustomer_01 - Step 02: Input not numberic to pin textbox with value: 123duc
[INFO ] [2021-07-24 16:27:45,612] NewCustomer_01 - Step 03: Verify message displayed
[INFO ] [2021-07-24 16:27:45,664]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 16:27:45,823] NewCustomer_02 - Step 01: Input numeric to pin textbox with value : 123
[INFO ] [2021-07-24 16:27:45,951] NewCustomer_02 - Step 02: Verify message displayed
[INFO ] [2021-07-24 16:27:45,992]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 16:27:46,015] NewCustomer_03 - Step 01: Input special characters to pin textbox with value : 123@!#
[INFO ] [2021-07-24 16:27:46,150] NewCustomer_03 - Step 02: Verify message displayed
[INFO ] [2021-07-24 16:27:46,195]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 16:27:46,202] NewCustomer_04 - Step 01: Input space at first character to pin textbox with value :  123
[INFO ] [2021-07-24 16:27:46,320] NewCustomer_04 - Step 02: Verify message displayed
[INFO ] [2021-07-24 16:27:46,357]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 16:27:46,362] NewCustomer_05 - Step 01: Input space to pin textbox with value: 12 45
[INFO ] [2021-07-24 16:27:46,451] NewCustomer_05 - Step 02: Verify message displayed
[INFO ] [2021-07-24 16:27:46,491]  -------------------------- FAILED -------------------------- 
[INFO ] [2021-07-24 16:27:46,641] NewCustomer_06 - Step 01: Input space at first character to mobile number textbox with value :  123
[INFO ] [2021-07-24 16:27:46,769] NewCustomer_06 - Step 02: Verify message displayed
[INFO ] [2021-07-24 16:27:46,816]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 16:27:46,822] NewCustomer_07 - Step 01: Input space to mobile number textbox with value: 12 45
[INFO ] [2021-07-24 16:27:46,914] NewCustomer_07 - Step 02: Verify message displayed
[INFO ] [2021-07-24 16:27:46,948]  -------------------------- FAILED -------------------------- 
[INFO ] [2021-07-24 16:27:47,081] NewCustomer_08 - Step 01: Input special characters to mobile number textbox with value : 123@!#
[INFO ] [2021-07-24 16:27:47,189] NewCustomer_08 - Step 02: Verify message displayed
[INFO ] [2021-07-24 16:27:47,230]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 16:27:47,253] NewCustomer_09 - Step 01: Input invalid format to email textbox with value : duc@gmail
[INFO ] [2021-07-24 16:27:47,381] NewCustomer_09 - Step 02: Verify message displayed
[INFO ] [2021-07-24 16:27:47,428]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 16:27:47,433] NewCustomer_10 - Step 01: Input space to email textbox with value : du c@gmail
[INFO ] [2021-07-24 16:27:47,523] NewCustomer_10 - Step 02: Verify message displayed
[INFO ] [2021-07-24 16:27:47,560]  -------------------------- FAILED -------------------------- 
[INFO ] [2021-07-24 16:27:47,682] OS name = windows 10
[INFO ] [2021-07-24 16:27:48,475] ---------- QUIT BROWSER SUCCESS ----------
[INFO ] [2021-07-24 16:34:21,360] Precondition: Click to here link to register
[INFO ] [2021-07-24 16:34:22,985] Precondition: Input email ID textbox
[INFO ] [2021-07-24 16:34:23,231] Precondition: Click to submit button
[INFO ] [2021-07-24 16:34:24,093] Precondition: Get user id to login
[INFO ] [2021-07-24 16:34:24,163] Precondition: Get password to login
[INFO ] [2021-07-24 16:34:24,228] Precondition: Open url login page
[INFO ] [2021-07-24 16:34:25,785] Precondition: Input user ID
[INFO ] [2021-07-24 16:34:25,939] Precondition: Input password
[INFO ] [2021-07-24 16:34:26,059] Precondition: Click to login button
[INFO ] [2021-07-24 16:34:28,170] NewCustomer_01 - Step 01: Click to New Customer page
[INFO ] [2021-07-24 16:34:28,658] NewCustomer_01 - Step 02: Input not numberic to pin textbox with value: 123duc
[INFO ] [2021-07-24 16:34:28,799] NewCustomer_01 - Step 03: Verify message displayed
[INFO ] [2021-07-24 16:34:28,850]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 16:34:29,016] NewCustomer_02 - Step 01: Input numeric to pin textbox with value : 123
[INFO ] [2021-07-24 16:34:29,137] NewCustomer_02 - Step 02: Verify message displayed
[INFO ] [2021-07-24 16:34:29,186]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 16:34:29,208] NewCustomer_03 - Step 01: Input special characters to pin textbox with value : 123@!#
[INFO ] [2021-07-24 16:34:29,330] NewCustomer_03 - Step 02: Verify message displayed
[INFO ] [2021-07-24 16:34:29,367]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 16:34:29,373] NewCustomer_04 - Step 01: Input space at first character to pin textbox with value :  123
[INFO ] [2021-07-24 16:34:29,459] NewCustomer_04 - Step 02: Verify message displayed
[INFO ] [2021-07-24 16:34:29,494]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-07-24 16:34:29,500] NewCustomer_05 - Step 01: Input space to pin textbox with value: 12 45
[INFO ] [2021-07-24 16:34:29,583] NewCustomer_05 - Step 02: Verify message displayed
[INFO ] [2021-07-24 16:34:29,620]  -------------------------- PASSED -------------------------- 
